"","metrics_list","SS","F.stat","p","p_adj","Sex"
"33","DTI_FA_lh",176104.402882852,3468.22102771592,0,0,"Male"
"34","DTI_FA_rh",70623.6761858107,1252.94488403939,8.79756194701952e-266,5.4544884071521e-264,"Male"
"35","SMT_FA_lh",66553.471247504,1176.23391533391,4.05068834972914e-250,2.51142677683207e-248,"Male"
"36","SMT_FA_rh",74184.9490912906,1320.54720185771,1.55269530405412e-279,9.62671088513555e-278,"Male"
"37","SMT_MD_lh",70121.0916071234,1243.44094028991,7.61430968688735e-264,4.72087200587015e-262,"Male"
"38","SMT_MD_rh",141650.469891022,2692.85486698731,0,0,"Male"
"39","SMT_trans_lh",134079.528392304,2529.63367813268,0,0,"Male"
"40","SMT_trans_rh",146338.686950763,2795.18183544239,0,0,"Male"
"41","SMT_long_lh",141241.826615224,2683.98142685929,0,0,"Male"
"42","SMT_long_rh",83065.0813746415,1491.11044124612,4.97619184639592e-314,3.08523894476547e-312,"Male"
"43","SMTmc_d_lh",74254.0609843137,1321.86362016264,8.38941683167394e-280,5.20143843563784e-278,"Male"
"44","SMTmc_d_rh",4824.05024203612,80.5983579378453,3.02012181213258e-19,1.8724755235222e-17,"Male"
"45","SMTmc_extramd_lh",4668.24411732471,77.9844522000673,1.12774499652716e-18,6.99201897846839e-17,"Male"
"46","SMTmc_extramd_rh",138425.411863905,2623.02274316971,0,0,"Male"
"47","SMTmc_extratrans_lh",125581.107138309,2349.33574349773,0,0,"Male"
"48","SMTmc_extratrans_rh",164514.852209864,3201.25564239998,0,0,"Male"
"49","SMTmc_intra_lh",151905.624472395,2917.95650557819,0,0,"Male"
"50","SMTmc_intra_rh",108008.053973188,1985.98618199487,0,0,"Male"
"51","WMTI_awf_lh",93354.5982232146,1692.38364641849,0,0,"Male"
"52","WMTI_awf_rh",142270.473718855,2706.33183273692,0,0,"Male"
"53","WMTI_radead_lh",127509.101168623,2389.97209107131,0,0,"Male"
"54","WMTI_radead_rh",162285.860802822,3150.64074064458,0,0,"Male"
