"","metrics_list..df..","SS","F.stat","p","p_adj","AICf","BICf"
"rh_inferiortemporal_area","rh_inferiortemporal_area",22.6416693003448,22.6354905322285,1.97019086454927e-06,0.000230512331152264,65446.2239459149,65494.4982940547
"rh_isthmuscingulate_area","rh_isthmuscingulate_area",0.827551925565785,0.826544146258041,0.363283237371541,42.5041387724703,65468.0265291098,65516.3008772495
"rh_lateraloccipital_area","rh_lateraloccipital_area",0.67816459934329,0.67733435741173,0.410514656006379,48.0302147527464,65468.1757663943,65516.4501145341
"rh_lateralorbitofrontal_area","rh_lateralorbitofrontal_area",74.1358663234023,74.2815219575015,7.20173705690847e-18,8.42603235658291e-16,65394.6750538329,65442.9494019726
"rh_lingual_area","rh_lingual_area",41.7553662923419,41.7786030305725,1.0426026975379e-10,1.21984515611934e-08,65427.1033943935,65475.3777425332
"rh_medialorbitofrontal_area","rh_medialorbitofrontal_area",3.02796426827263,3.02456521866453,0.0820256490578941,9.59700093977361,65465.8282149101,65514.1025630498
"rh_middletemporal_area","rh_middletemporal_area",160.591032265005,161.513484322089,7.02727335280518e-37,8.22190982278207e-35,65307.868034867,65356.1423830067
"rh_parahippocampal_area","rh_parahippocampal_area",5.44724176370437,5.4416974054918,0.0196701123875766,2.30140314934646,65463.4110023253,65511.6853504651
"rh_paracentral_area","rh_paracentral_area",11.7547162415904,11.7459626077984,0.000610818079885572,0.0714657153466119,65457.1077195588,65505.3820676985
"rh_parsopercularis_area","rh_parsopercularis_area",6.19725351378293,6.19114700014785,0.0128461011082535,1.50299382966566,65462.6615792668,65510.9359274066
"rh_parsorbitalis_area","rh_parsorbitalis_area",5.86202546755885,5.85616419566348,0.0155302682002355,1.81704137942756,65462.9965471998,65511.2708953396
"rh_parstriangularis_area","rh_parstriangularis_area",6.789319741074e-06,6.7808086894306e-06,0.997922334604344,116.756913148708,65468.853230931,65517.1275790707
"rh_pericalcarine_area","rh_pericalcarine_area",8.80065540866781,8.79297567748302,0.00302702271725186,0.354161657918467,65460.0600317688,65508.3343799086
"rh_postcentral_area","rh_postcentral_area",13.652157192224,13.6431126974232,0.000221561212161918,0.0259226618229444,65455.2112023702,65503.4855505099
"rh_posteriorcingulate_area","rh_posteriorcingulate_area",5.23270262673759,5.2273280326809,0.0222436908701419,2.6025118318066,65463.6253685881,65511.8997167278
"rh_precentral_area","rh_precentral_area",1.17450926466336,1.17309660119868,0.278777213383036,32.6169339658152,65467.6799165207,65515.9542646604
"rh_precuneus_area","rh_precuneus_area",1.56839528257115,1.56653560013152,0.210723543002579,24.6546545313017,65467.2864155674,65515.5607637072
"rh_rostralanteriorcingulate_area","rh_rostralanteriorcingulate_area",10.7974176193638,10.788929170699,0.00102261177739694,0.119645577955441,65458.0644929221,65506.3388410618
"rh_rostralmiddlefrontal_area","rh_rostralmiddlefrontal_area",15.6176109717635,15.6085943067273,7.81316066347326e-05,0.00914139797626372,65453.2465409679,65501.5208891077
"rh_superiorfrontal_area","rh_superiorfrontal_area",1.65832412504096,1.65636426592997,0.198107852002324,23.1786186842719,65467.1965736981,65515.4709218379
"rh_superiorparietal_area","rh_superiorparietal_area",0.351635177015851,0.351199719589084,0.553440595402614,64.7525496621059,65468.501964494,65516.7763126337
"rh_superiortemporal_area","rh_superiortemporal_area",19.6797683381192,19.6718709481887,9.23700362020717e-06,0.00108072942356424,65449.1854906516,65497.4598387914
"rh_supramarginal_area","rh_supramarginal_area",1.12228581656382,1.1209334294708,0.289728644890389,33.8982514521755,65467.7320884107,65516.0064365505
"rh_frontalpole_area","rh_frontalpole_area",5.78673553304543,5.78093067923769,0.0162087984250871,1.89642941573519,65463.0717780455,65511.3461261852
"rh_temporalpole_area","rh_temporalpole_area",3.7240679184215,3.71999966286666,0.0537766450132216,6.29186746654692,65465.1327313679,65513.4070795077
"rh_transversetemporal_area","rh_transversetemporal_area",0.743464203249459,0.742556119251865,0.388852253777685,45.4957136919891,65468.1105324949,65516.3848806347
"rh_insula_area","rh_insula_area",8.76444102478854,8.75677915064594,0.00308766823894043,0.36125718395603,65460.0962223706,65508.3705705103
"rh_WhiteSurfArea_area","rh_WhiteSurfArea_area",415.785221172046,422.881886039638,3.94667412102538e-93,4.61760872159969e-91,65049.7124848329,65097.9868329726
"rhCortexVol","rhCortexVol",194.345359347633,195.749976911547,2.68301499242054e-44,3.13912754113203e-42,65273.8874284992,65322.1617766389
"rhCorticalWhiteMatterVol","rhCorticalWhiteMatterVol",319.213082839477,323.283989377126,8.63578500905111e-72,1.01038684605898e-69,65147.7455278294,65196.0198759691
"Right.Lateral.Ventricle","Right.Lateral.Ventricle",288.073269516324,291.348464292282,6.33759728807477e-65,7.41498882704748e-63,65179.2677483182,65227.542096458
"Right.Inf.Lat.Vent","Right.Inf.Lat.Vent",704.325916261158,725.584541931835,2.22774762869944e-157,2.60646472557834e-155,64754.2988846539,64802.5732327937
"Right.Cerebellum.White.Matter","Right.Cerebellum.White.Matter",207.422089279607,209.040657739943,3.57852704108524e-47,4.18687663806973e-45,65260.709565475,65308.9839136147
"Right.Cerebellum.Cortex","Right.Cerebellum.Cortex",28.2770364659482,28.2762304550507,1.06159024517956e-07,1.24206058686009e-05,65440.5882059168,65488.8625540565
"Right.Thalamus.Proper","Right.Thalamus.Proper",78.415911181688,78.5845952720144,8.2080076632086e-19,9.60336896595407e-17,65390.3852707141,65438.6596188538
"Right.Caudate","Right.Caudate",294.607912414496,298.042849547582,2.30021580115586e-66,2.69125248735235e-64,65172.6564297763,65220.930777916
"Right.Putamen","Right.Putamen",90.2244532923578,90.4649802650749,2.06108357054508e-21,2.41146777753774e-19,65378.5457206815,65426.8200688213
"Right.Pallidum","Right.Pallidum",262.097216947088,264.775328723277,3.34047242172209e-59,3.90835273341484e-57,65205.5298669432,65253.8042150829
"Right.Hippocampus","Right.Hippocampus",110.573019318679,110.966006538379,6.89290458407551e-26,8.06469836336834e-24,65358.1294462362,65406.4037943759
"Right.Amygdala","Right.Amygdala",213.853972413399,215.583351168304,1.37839153512373e-48,1.61271809609476e-46,65254.2251749912,65302.499523131
"Right.Accumbens.area","Right.Accumbens.area",463.844019475124,472.763396356609,8.85855410598367e-104,1.03645083040009e-101,65000.7709063041,65049.0452544438
"rh_MeanThickness_thickness","rh_MeanThickness_thickness",32.7301612213378,32.7355518658111,1.06896214691254e-08,1.25068571188767e-06,65436.1338119887,65484.4081601284
